ZIP,X_COORD,Y_COORD,ZIP_OFFER_NUM,ZIP_OFFER_NUM_LVL,ZIP_RATE_AVG,ZIP_RATE_AVG_LVL,GROUP,LON,LAT
563,-10.530587376327318,5.753893059199007,472,0.6159095388491933,8.350225542905621,1,10,-94.59787590910922,45.834661357822874
181,-8.406372149320461,4.953310702447274,1182,0.7075808863978387,8.350205491975643,1,8,-75.51572585731242,40.598575257770875
985,-13.722386385380155,5.933881302048292,5027,0.8522777569710138,8.349070760732165,1,7,-123.27029424580626,46.94978345172172
551,-10.36166910833369,5.615553500879256,1309,0.7177782416195198,8.347661150339746,1,10,-93.08045729005246,44.96207852814793
100,-8.23395606689799,4.97967196244684,161,0.5087596335232384,8.347218690938696,1,8,-73.96688583663125,40.77813814290844
570,-10.8049879746312,5.38757564460139,110,0.4709530201312334,8.344332477621604,1,10,-97.06285842338839,43.49469804465838
259,-9.009621061871643,4.555122891265637,4,0.16094379124341002,8.344139775064361,1,2,-80.93480304004449,37.827762280255996
304,-9.13998144490232,3.8276278962720416,423,0.6049733455231958,8.343971667245924,1,16,-82.10585028524581,32.4886655686215
285,-8.598197225564235,4.170340709203,1202,0.7092573715974678,8.343818168047388,1,17,-77.23891983598416,35.04751934065559
128,-8.22704605831863,5.406863788810389,107,0.468213122712422,8.343564223584085,1,19,-73.90481217342888,43.62026267512236
229,-8.745747813736783,4.58242436243859,168,0.5129898714923073,8.343188629127535,1,17,-78.56438932134641,38.02122312372554
111,-8.229390726938924,4.976999090526324,204,0.5323009979138409,8.342009703215096,1,8,-73.92587469000694,40.75995359991695
550,-10.349881492110125,5.649803320973918,1352,0.7210079628170788,8.341716606101395,1,10,-92.97456733188284,45.179365943934414
981,-13.621031326302466,6.040352381684304,6784,0.8822469572268969,8.338571960102673,1,7,-122.35980625888303,47.5987108134802
410,-9.38654618105316,4.671673395930076,1794,0.7492760300922379,8.33529243868432,1,2,-84.32077899533778,38.65009146713537
